Year,India,United States
1960,1.783264746,1.509929427
1961,1.752021563,1.075181891
1962,3.57615894,1.116071429
1963,2.941176471,1.214128036
1964,13.35403727,1.308615049
1965,9.479452055,1.66846071
1966,10.81081081,2.991000529
1967,13.0532972,2.775636083
1968,2.996404315,4.217721097
1969,0.574712644,5.414700472
1970,5.095238095,5.895295903
1971,3.081105573,4.255928924
1972,6.461538462,3.305614735
1973,16.92815855,6.220063864
1974,28.60169492,11.03526022
1975,5.738605162,9.131930735
1976,-7.63438068,5.737027083
1977,8.321619342,6.486460064
1978,2.517518817,7.647463851
1979,6.253164557,11.26604409
1980,11.3652609,13.50937033
1981,13.11510484,10.31553398
1982,7.887270664,6.160616062
1983,11.86886396,3.212435233
1984,8.32157969,4.317269076
1985,5.555555556,3.561116458
1986,8.730811404,1.858736059
1987,8.798689021,3.740875912
1988,9.384775808,4.009088244
1989,3.26256011,4.82700303
1990,8.971233545,5.39795644
1991,13.87024609,4.234963965
1992,11.78781925,3.028819678
1993,6.362038664,2.951656966
1994,10.21150033,2.607441592
1995,10.22488756,2.805419689
1996,8.977149075,2.9312042
1997,7.16425362,2.337689937
1998,13.2308409,1.552279099
1999,4.669821024,2.188027197
2000,4.009433962,3.376857271
2001,3.684807256,2.826171119
2002,4.392199745,1.586031627
2003,3.805865922,2.270094973
2004,3.76723848,2.677236693
2005,4.246353323,3.392746845
2006,6.145522388,3.225944101
2007,6.369996746,2.852672482
2008,8.351816444,3.839100297
2009,10.87739112,-0.355546266
2010,11.99229692,1.640043442
2011,8.857845297,3.156841569
2012,9.312445605,2.069337265
2013,10.90764331,1.464832656
2014,6.649500151,1.622222977
2015,4.906973441,0.118627136
2016,4.941447235,1.261583206
